Names,Year,Total,Gender,Type
Daniel,1964,395,Boy,Spain
Dylan,1964,0,Boy,Spain
Aaron,1964,0,Boy,Spain
Matthew,1964,89,Boy,Spain
David,1964,936,Boy,Spain
Alex,1964,0,Boy,Spain
Liam,1964,111,Boy,Spain
Samuel,1964,18,Boy,Spain
Ethan,1964,0,Boy,Spain
Noah,1964,0,Boy,Spain
Alexander,1964,19,Boy,Spain
Benjamin,1964,13,Boy,Spain
Christopher,1964,289,Boy,Spain
Alan,1964,245,Boy,Spain
Martin,1964,849,Boy,Spain
Leon,1964,0,Boy,Spain
Oliver,1964,69,Boy,Spain
Leo,1964,28,Boy,Spain
Lucas,1964,0,Boy,Spain
Jacob,1964,0,Boy,Spain
Tomas,1964,7,Boy,Spain
Isaac,1964,3,Boy,Spain
Luca,1964,0,Boy,Spain
Sebastian,1964,0,Boy,Spain
Simon,1964,36,Boy,Spain
Caleb,1964,0,Boy,Spain
Adrian,1964,75,Boy,Spain
Ian,1964,86,Boy,Spain
Gabriel,1964,57,Boy,Spain
Hugo,1964,0,Boy,Spain
Emmanuel,1964,0,Boy,Spain
Nicolas,1964,0,Boy,Spain
Marco,1964,4,Boy,Spain
Milo,1964,0,Boy,Spain
Diego,1964,0,Boy,Spain
Mario,1964,3,Boy,Spain
Antonio,1964,0,Boy,Spain
Leonardo,1964,0,Boy,Spain
Julian,1964,6,Boy,Spain
Marcos,1964,0,Boy,Spain
Miguel,1964,0,Boy,Spain
Pedro,1964,0,Boy,Spain
Damian,1964,56,Boy,Spain
Carlos,1964,0,Boy,Spain
Elias,1964,0,Boy,Spain
Luis,1964,0,Boy,Spain
Rafael,1964,0,Boy,Spain
Salvador,1964,0,Boy,Spain
Axel,1964,0,Boy,Spain
Bruno,1964,0,Boy,Spain
Juan,1964,0,Boy,Spain
Lorenzo,1964,3,Boy,Spain
Alejandro,1964,0,Boy,Spain
Dante,1964,0,Boy,Spain
Felipe,1964,0,Boy,Spain
Eduardo,1964,0,Boy,Spain
Enzo,1964,0,Boy,Spain
Manuel,1964,0,Boy,Spain
Mateo,1964,0,Boy,Spain
Rodrigo,1964,0,Boy,Spain
Andrea,1964,9,Boy,Spain
Angel,1964,0,Boy,Spain
Bastian,1964,0,Boy,Spain
Javier,1964,0,Boy,Spain
Joaquin,1964,0,Boy,Spain
Jules,1964,0,Boy,Spain
Matias,1964,0,Boy,Spain
Noa,1964,0,Boy,Spain
Pablo,1964,0,Boy,Spain
Santiago,1964,0,Boy,Spain
Valentin,1964,0,Boy,Spain
Valentine,1964,13,Boy,Spain
Emilio,1964,0,Boy,Spain
Francisco,1964,0,Boy,Spain
Thiago,1964,0,Boy,Spain
Valentino,1964,0,Boy,Spain
Alvaro,1964,0,Boy,Spain
Gael,1964,0,Boy,Spain
Jorge,1964,0,Boy,Spain
Maximo,1964,0,Boy,Spain
Santino,1964,0,Boy,Spain
Daniel,1965,344,Boy,Spain
Dylan,1965,0,Boy,Spain
Aaron,1965,4,Boy,Spain
Matthew,1965,129,Boy,Spain
David,1965,1102,Boy,Spain
Alex,1965,0,Boy,Spain
Liam,1965,103,Boy,Spain
Samuel,1965,27,Boy,Spain
Ethan,1965,0,Boy,Spain
Noah,1965,0,Boy,Spain
Alexander,1965,23,Boy,Spain
Benjamin,1965,12,Boy,Spain
Christopher,1965,270,Boy,Spain
Alan,1965,316,Boy,Spain
Martin,1965,843,Boy,Spain
Leon,1965,0,Boy,Spain
Oliver,1965,68,Boy,Spain
Leo,1965,35,Boy,Spain
Lucas,1965,0,Boy,Spain
Jacob,1965,0,Boy,Spain
Tomas,1965,6,Boy,Spain
Isaac,1965,0,Boy,Spain
Luca,1965,0,Boy,Spain
Sebastian,1965,0,Boy,Spain
Simon,1965,60,Boy,Spain
Caleb,1965,0,Boy,Spain
Adrian,1965,82,Boy,Spain
Ian,1965,110,Boy,Spain
Gabriel,1965,54,Boy,Spain
Hugo,1965,0,Boy,Spain
Emmanuel,1965,0,Boy,Spain
Nicolas,1965,0,Boy,Spain
Marco,1965,0,Boy,Spain
Milo,1965,0,Boy,Spain
Diego,1965,0,Boy,Spain
Mario,1965,0,Boy,Spain
Antonio,1965,0,Boy,Spain
Leonardo,1965,0,Boy,Spain
Julian,1965,6,Boy,Spain
